subject_id,course_code,semester,active,subject_name,professor,department,grade,subject_type,class_method,credits,is_night,wishlist_count,wishlist_user_count,required_count,avg_wishlist_priority,timetable_count,timetable_user_count,combined_user_count,total_saved_actions,first_wishlist_at,last_wishlist_at,first_timetable_at,last_timetable_at
11837,,,True,대학영어회화1,"브렌트 맥
납",사회복지학과,2.0,기교,OFFLINE,1,False,0,0,0,,1,1,1,1,,,2026-02-05 14:16:44.080333,2026-02-05 14:16:44.080333
11841,,,True,대학영어회화1,"티모시 톰
슨",사회복지학과,2.0,기교,OFFLINE,1,False,0,0,0,,1,1,1,1,,,2026-02-04 04:50:58.183397,2026-02-04 04:50:58.183397
11847,,,True,대학영어회화1,데빈,문헌정보학과,2.0,기교,OFFLINE,1,False,0,0,0,,1,1,1,1,,,2026-02-03 00:12:57.925295,2026-02-03 00:12:57.925295
11850,,,True,대학영어회화1,코리 로슨,미디어커뮤니케이션학과,2.0,기교,OFFLINE,1,False,0,0,0,,1,1,1,1,,,2026-02-03 16:16:30.675927,2026-02-03 16:16:30.675927
11860,,,True,대학영어회화1,유원,행정학과,2.0,기교,OFFLINE,1,False,0,0,0,,1,1,1,1,,,2026-02-03 09:17:22.058969,2026-02-03 09:17:22.058969
11862,,,True,대학영어회화1,유원,경제학과,2.0,기교,OFFLINE,1,False,0,0,0,,1,1,1,1,,,2026-02-02 15:38:34.295020,2026-02-02 15:38:34.295020
11863,,,True,대학영어회화1,데이비드,행정학과,2.0,기교,OFFLINE,1,False,1,1,0,3.0,0,0,1,1,2026-02-06 13:10:53.149582,2026-02-06 13:10:53.149582,,
11869,,,True,대학영어회화1,피터 래버,행정학과,2.0,기교,OFFLINE,1,False,0,0,0,,1,1,1,1,,,2026-02-02 07:29:29.703798,2026-02-02 07:29:29.703798
11871,,,True,대학영어회화1,피터 래버,경제학과,2.0,기교,OFFLINE,1,False,0,0,0,,1,1,1,1,,,2026-02-02 09:12:01.318361,2026-02-02 09:12:01.318361
11875,,,True,대학영어회화1,알란,소비자학과,2.0,기교,OFFLINE,1,False,0,0,0,,1,1,1,1,,,2026-02-03 08:01:50.252488,2026-02-03 08:01:50.252488
11877,,,True,대학영어회화1,데이비드,소비자학과,2.0,기교,OFFLINE,1,False,0,0,0,,1,1,1,1,,,2026-02-02 10:44:26.375566,2026-02-02 10:44:26.375566
11879,,,True,대학영어회화1,매튜,소비자학과,2.0,기교,OFFLINE,1,False,0,0,0,,1,1,1,1,,,2026-02-04 03:38:05.817902,2026-02-04 03:38:05.817902
11884,,,True,대학영어회화1,유원,기계공학과,2.0,기교,OFFLINE,1,False,1,1,0,3.0,0,0,1,1,2026-02-02 13:37:31.644378,2026-02-02 13:37:31.644378,,
